pay_run_id,employee_id,pay_date,gross_pay,federal_tax_withheld,state_tax_withheld,social_security_withheld,medicare_withheld,futa_withheld,suta_withheld,k401_contribution,garnishment_deduction,net_pay,journal_posted,is_injected_error,error_type
PR000001,EMP0001,2026-03-29,1486.66,223.0,0.0,92.17,21.56,8.92,40.14,0.0,406.7,743.23,True,False,none
PR000002,EMP0001,2026-04-05,1480.32,222.05,0.0,91.78,21.46,8.88,39.97,0.0,293.66,851.37,True,False,none
PR000003,EMP0001,2026-04-12,1483.2,222.48,0.0,91.96,21.51,8.9,40.05,0.0,302.35,844.9,True,False,none
PR000004,EMP0001,2026-04-19,1431.84,214.78,0.0,88.77,20.76,8.59,38.66,0.0,603.45,504.08,True,False,none
PR000005,EMP0001,2026-04-26,1403.55,210.53,0.0,87.02,20.35,6.71,37.9,0.0,332.52,753.13,True,False,none
PR000006,EMP0001,2026-05-03,1468.99,220.35,0.0,91.08,21.3,0.0,39.66,0.0,582.24,554.02,True,False,none
PR000007,EMP0001,2026-05-10,1459.72,218.96,0.0,90.5,21.17,0.0,6.63,0.0,566.19,562.9,True,False,none
PR000008,EMP0001,2026-05-17,1448.47,217.27,0.0,89.81,21.0,0.0,0.0,0.0,353.77,766.62,True,False,none
PR000009,EMP0001,2026-05-24,1425.94,213.89,0.0,88.41,20.68,0.0,0.0,0.0,315.75,787.21,True,False,none
PR000010,EMP0001,2026-05-31,1490.29,223.54,0.0,92.4,21.61,0.0,0.0,0.0,524.53,628.21,True,False,none
PR000011,EMP0001,2026-06-07,1432.24,214.84,0.0,88.8,20.77,0.0,0.0,0.0,447.61,660.22,True,False,none
PR000012,EMP0001,2026-06-14,1494.73,224.21,0.0,92.67,21.67,0.0,0.0,0.0,317.26,838.92,True,False,none
PR000013,EMP0001,2026-06-21,1453.44,218.02,0.0,90.11,21.07,0.0,0.0,0.0,474.96,649.28,True,False,none
PR000014,EMP0001,2026-06-28,1456.33,218.45,0.0,90.29,21.12,0.0,0.0,0.0,245.13,881.34,True,False,none
PR000015,EMP0001,2026-07-05,1486.13,222.92,0.0,92.14,21.55,0.0,0.0,0.0,691.42,458.1,True,False,none
PR000016,EMP0001,2026-07-12,1451.03,217.65,0.0,89.96,21.04,0.0,0.0,0.0,564.1,558.28,True,False,none
PR000017,EMP0001,2026-07-19,1491.89,223.78,0.0,92.5,21.63,0.0,0.0,0.0,585.11,568.87,True,False,none
PR000018,EMP0001,2026-07-26,1403.85,210.58,0.0,87.04,20.36,0.0,0.0,0.0,490.86,595.01,True,False,none
PR000019,EMP0001,2026-08-02,1455.78,218.37,0.0,90.26,21.11,0.0,0.0,0.0,437.06,688.98,True,False,none
PR000020,EMP0001,2026-08-09,1470.62,220.59,0.0,91.18,21.32,0.0,0.0,0.0,685.29,452.24,True,False,none
PR000021,EMP0001,2026-08-16,1492.24,223.84,0.0,92.52,21.64,0.0,0.0,0.0,460.95,693.29,True,False,none
PR000022,EMP0001,2026-08-23,1399.36,209.9,0.0,86.76,20.29,0.0,0.0,0.0,675.03,407.38,True,False,none
PR000023,EMP0001,2026-08-30,1482.33,222.35,0.0,91.9,21.49,0.0,0.0,0.0,300.82,845.77,True,False,none
PR000024,EMP0001,2026-09-06,1491.7,223.75,0.0,92.49,21.63,0.0,0.0,0.0,663.86,489.97,True,False,none
PR000025,EMP0001,2026-09-13,1445.74,216.86,0.0,89.64,20.96,0.0,0.0,0.0,512.55,605.73,True,False,none
PR000026,EMP0002,2026-03-31,5820.77,873.12,0.0,360.89,84.4,34.92,157.16,0.0,0.0,4502.36,True,False,none
PR000027,EMP0002,2026-04-15,5660.78,849.12,0.0,350.97,82.08,7.08,85.84,0.0,0.0,4378.61,True,False,none
PR000028,EMP0002,2026-04-30,5791.11,868.67,0.0,359.05,83.97,0.0,0.0,0.0,0.0,4479.42,True,False,none
PR000029,EMP0002,2026-05-15,6008.47,901.27,0.0,372.53,87.12,0.0,0.0,0.0,0.0,4647.55,True,False,none
PR000030,EMP0002,2026-05-31,5637.48,845.62,0.0,349.52,81.74,0.0,0.0,0.0,0.0,4360.6,True,False,none
